Collateral_category,N repos (single-type),Avg Yield (%),Avg Haircut (%)
Agency Debentures and Agency Strips,10,1.532,2.0675
U.S. Treasuries (including strips),288,1.6214,2.2486
Agency Mortgage-Backed Securities,70,1.0776,2.3209
Money Market,382,1.6243,4.0543
Agency Collateralized Mortgage Obligation,129,1.7168,4.1879
Other Instrument,1458,1.6926,4.9977
Corporate Debt Securities,3004,1.5226,5.8313
Equities,1654,1.515,7.3484
Asset-Backed Securities,526,2.0074,8.7691
Private Label Collateralized Mortgage Obligations,437,1.6711,8.9833
