accession_no,cik,name,filed_at,filing_url
0001145549-20-003465,1107414,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2020-01-28,https://www.sec.gov/Archives/edgar/data/1107414/000114554920003465/0001145549-20-003465-index.htm
0000277751-20-000006,277751,JANUS INVESTMENT FUND,2020-01-22,https://www.sec.gov/Archives/edgar/data/277751/000027775120000006/0000277751-20-000006-index.htm
0001145549-20-000881,828806,AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST),2020-01-09,https://www.sec.gov/Archives/edgar/data/828806/000114554920000881/0001145549-20-000881-index.htm
0001145549-20-000880,828806,AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST),2020-01-09,https://www.sec.gov/Archives/edgar/data/828806/000114554920000880/0001145549-20-000880-index.htm
0000878663-20-000004,878663,FIDELITY NEW YORK MUNICIPAL TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/878663/000087866320000004/0000878663-20-000004-index.htm
0001145549-20-000550,908406,AMERICAN CENTURY INVESTMENT TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/908406/000114554920000550/0001145549-20-000550-index.htm
0001145549-20-000645,814230,DELAWARE VIP TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/814230/000114554920000645/0001145549-20-000645-index.htm
0001145549-20-000695,38778,FRANKLIN U.S. GOVERNMENT MONEY FUND,2020-01-08,https://www.sec.gov/Archives/edgar/data/38778/000114554920000695/0001145549-20-000695-index.htm
0001145549-20-000717,1140869,MASTER PORTFOLIO TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1140869/000114554920000717/0001145549-20-000717-index.htm
0001145549-20-000767,842790,AIM INVESTMENT SECURITIES FUNDS (INVESCO INVESTMENT SECURITIES FUNDS),2020-01-08,https://www.sec.gov/Archives/edgar/data/842790/000114554920000767/0001145549-20-000767-index.htm
0001258897-20-000021,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000021/0001258897-20-000021-index.htm
0001145549-20-000675,315812,MORGAN STANLEY TAX FREE DAILY INCOME TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/315812/000114554920000675/0001145549-20-000675-index.htm
0001145549-20-000729,857156,CHARLES SCHWAB FAMILY OF FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/857156/000114554920000729/0001145549-20-000729-index.htm
0001145549-20-000792,205007,SHORT-TERM INVESTMENTS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/205007/000114554920000792/0001145549-20-000792-index.htm
0001145549-20-000461,795384,"T. Rowe Price State Tax-Free Funds, Inc.",2020-01-08,https://www.sec.gov/Archives/edgar/data/795384/000114554920000461/0001145549-20-000461-index.htm
0001145549-20-000651,1403166,Master Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/1403166/000114554920000651/0001145549-20-000651-index.htm
0001145549-20-000677,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000677/0001145549-20-000677-index.htm
0001145549-20-000702,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1227155/000114554920000702/0001145549-20-000702-index.htm
0000356173-20-000011,356173,Fidelity Colchester Street Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/356173/000035617320000011/0000356173-20-000011-index.htm
0001145549-20-000583,710124,NORTHERN INSTITUTIONAL FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/710124/000114554920000583/0001145549-20-000583-index.htm
0001718745-20-000021,1217286,JPMorgan Trust I,2020-01-08,https://www.sec.gov/Archives/edgar/data/1217286/000171874520000021/0001718745-20-000021-index.htm
0000894189-20-000137,356134,FIRST AMERICAN FUNDS INC,2020-01-08,https://www.sec.gov/Archives/edgar/data/356134/000089418920000137/0000894189-20-000137-index.htm
0001145549-20-000723,857156,CHARLES SCHWAB FAMILY OF FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/857156/000114554920000723/0001145549-20-000723-index.htm
0001145549-20-000650,1403166,Master Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/1403166/000114554920000650/0001145549-20-000650-index.htm
0001145549-20-000697,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1227155/000114554920000697/0001145549-20-000697-index.htm
0001145549-20-000714,1140869,MASTER PORTFOLIO TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1140869/000114554920000714/0001145549-20-000714-index.htm
0001145549-20-000759,1454975,American Funds U.S. Government Money Market Fund,2020-01-08,https://www.sec.gov/Archives/edgar/data/1454975/000114554920000759/0001145549-20-000759-index.htm
0001258897-20-000019,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000019/0001258897-20-000019-index.htm
0000894189-20-000132,356134,FIRST AMERICAN FUNDS INC,2020-01-08,https://www.sec.gov/Archives/edgar/data/356134/000089418920000132/0000894189-20-000132-index.htm
