accession_no,form_type,cik,name,filed_at,report_date,series_id,filing_url
0001145549-19-000303,N-MFP2,814079,Funds For Institutions Series,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/814079/000114554919000303/0001145549-19-000303-index.htm
0001145549-19-000438,N-MFP2,916620,NORTHERN FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/916620/000114554919000438/0001145549-19-000438-index.htm
0001145549-19-000580,N-MFP2,1140869,MASTER PORTFOLIO TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1140869/000114554919000580/0001145549-19-000580-index.htm
0001145549-19-000658,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919000658/0001145549-19-000658-index.htm
0001145549-19-000708,N-MFP2,934699,MUTUAL OF AMERICA INSTITUTIONAL FUNDS INC,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/934699/000114554919000708/0001145549-19-000708-index.htm
0001145549-19-000342,N-MFP2,1084380,TIAA-CREF FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1084380/000114554919000342/0001145549-19-000342-index.htm
0000928816-19-000018,N-MFP2,822671,PUTNAM VARIABLE TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/822671/000092881619000018/0000928816-19-000018-index.htm
0001500666-19-000009,N-MFP2,770906,FIRST INVESTORS LIFE SERIES FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/770906/000150066619000009/0001500666-19-000009-index.htm
0001145549-19-000390,N-MFP2,67590,"PRUDENTIAL Government Money Market Fund, INC.",2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/67590/000114554919000390/0001145549-19-000390-index.htm
0001145549-19-000413,N-MFP2,1081400,WELLS FARGO FUNDS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1081400/000114554919000413/0001145549-19-000413-index.htm
0001145549-19-000521,N-MFP2,795384,"T. Rowe Price State Tax-Free Funds, Inc.",2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/795384/000114554919000521/0001145549-19-000521-index.htm
0001145549-19-000584,N-MFP2,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/889512/000114554919000584/0001145549-19-000584-index.htm
0001145549-19-000598,N-MFP2,909466,AIM TAX EXEMPT FUNDS (INVESCO TAX-EXEMPT FUNDS),2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/909466/000114554919000598/0001145549-19-000598-index.htm
